:if_dead_go_to; rachelle; 176,,COMPLETE/ NOT UPLOADED,This should play when the player descends into Lv2. 
,Sorry. We're not answering any more questions about this. ,,
,Our relationship only needs to go as far as from here to an exit. ,,
,"This... fucked up little magic cistern bit, we'll just body through it, okay?",,
R:rachelle_base,I don't care who or what you are. I just want to get out of here. ,,
L:magda_base,...!,,
R:rachelle_base,My liege lady is dead on my watch. Whatever mess you're both,,
,caught up in above ground can't possibly compare. ,,
,"I will get you out of here. ""Fucked up little magic cistern bit"" and all. ",,
X,,,
L:lachlan_base,...!,,
,"Well, you know--it's... well...",,
:if_dead_go_to; einar; 92,,,
L:einar_base,"It's kind of obvious, kid. ",,
L:lachlan_base,(His face is flushed and he tries to hide it behind his sleeve.),,
L:einar_base,"I mean, the uniforms don't come that oversized. ",,
L:lachlan_base,"Right. I'm... I'm not SORRY necessarily, but I'm sorry for... ",,
,somewhat... trying to deceive you?,,
L:einar_base,"I don't care who you are, so long as we can ",,
,make it out of here together.,,
R:rachelle_base,I can look the other way. ,,
,Let's focus on getting out of here while we can. ,,
L:lachlan_base,Right. ,,
L:einar_base,Well... is it a bad time to let you know that I don't know how to swim?,,
R:rachelle_base,"I can't swim in this armor, anyway. We'll go around. ",,
,"If it really is our cistern, there should be a way through",,
,without swimming. Let's move. ,,
X,,,
R:rachelle_base,It's not serious now. I don't care. I just need you to be ready to keep moving. ,,
,"And watch your back, there's no telling if there are more",,
,amalgamations down here. Maybe they retained an appetite for magic.,,
:if_dead_go_to; magda; 103,,,
L:magda_base,"Thank you... for your discretion, Dame Rachelle. ",,
R:rachelle_base,Don't be grateful. It's clear the two of you are running from something. ,,
,I simply don't want to get caught up in it. ,,
:if_dead_go_to; lachlan 101,,,
L:lachlan_base,...,,
L:magda_base,"Well, lady knight, accept my gratitude and get us out of here, then.",,
:if_dead_go_to; lachlan; 104,,,
L:lachlan_base,"...right. Thank you, Dame Rachelle. ",,
X,,,
:if_dead_go_to; magda; 120,,,
R:magda_base,Where are we?,,
R:rachelle_base,(You look towards your lady to gauge what can be said.),,
L:josephine_base,This is the cistern below the duchy. ,,
R:magda_base,This place is relatively deep for a cistern. So we're walking down,,
,and moving upward somehow?,,
L:josephine_base,Or... everything above is sinking. ,,
R:rachelle_base,...,,
L:magda_base,"Well, that's a comforting thought, your grace. ",,
,"Do you know the way forward, then?",,
L:josephine_base,Rachelle can lead the way. I don't plan on swimming today.,,
R:rachelle_base,"I wouldn't dream of it, my lady. My armor is too heavy",,
,either way. ,,
L:magda_base,Great. Let's avoid the water and find a way out of here. ,,
X,,,
:if_dead_go_to; lachlan; 132,,,
L:lachlan_base,"Oh, so you recognize this bit? Where are we?",,
R:rachelle_base,"(You pause, feeling suddenly like a rabbit caught out in the field.)",,
,"(If your lady tells him the truth, he's as good as dead.)",,
L:josephine_base,"The cistern beneath the duchy, though this is... particularly",,
,deeper in the earth than it SHOULD be. ,,
L:lachlan_base,That's not good!,,
L:josephine_base,"Ha! You're funny, as always. ",,
,Rachelle can lead the way. I don't plan on swimming today.,,
R:rachelle_base,"I wouldn't dream of it, my lady. My armor is too heavy",,
,either way. ,,
X,,,
L:josephine_base,How interesting. How can the cistern be this deep underground?,,
,If that space is consuming this place as well...!,,
,"Rachelle, we might have happened upon that ritual chamber ",,
,that those academy mages were so desperate to find!,,
,"What good fortune! If the power of a god rests in the earth here, ",,
,I'll be able to restore the duchy after whatever's happened above. ,,
R:rachelle_base,"How... convenient, my lady. ",,
L:josephine_base,"Brusque as always? Well, you're right in that ",,
,we shouldn't get ahead of ourselves. ,,
,"Lead the way, Rachelle. I don't plan on swimming today.",,
R:rachelle_base,"I wouldn't dream of it, my lady. ",,
X,,,
:if_dead_go_to; magda; 170,,,
L:magda_base,So you recognize where we are? What is this place?,,
R:rachelle_base,This is... the cistern underneath the duchy. ,,
L:magda_base,But that's not everything. I can practically taste the undercurrent,,
,of magic in the air. It's not like the caves above.,,
R:rachelle_base,That's even worse news than I was expecting. ,,
,Lady Magda... what I'm about tell you cannot follow you,,
,up to the surface. People will see you dead for such a secret.,,
L:magda_base,"Sure. I'll die in your confidence, whether that's in five minutes ",,
,or fifty years. I have little else to lose. ,,
R:rachelle_base,This isn't just a cistern anymore. The duchy has been ,,
,conducting trials to... augment a person's halo. To transfer innate spells. ,,
L:magda_base,What?,,
,How do you even... what?!,,
R:rachelle_base,I've never... witnessed a procedure myself. It's gruesome. ,,
,A surgeon observes the paths of the veins to ascertain what ,,
,symbols are mimicked in the mage's body. ,,
L:magda_base,So you think..?,,
R:rachelle_base,"If monsters are... combining from different ""biological matter""",,
,"as the ghosts put it, I don't think it's impossible that we encounter mages. ",,
L:magda_base,Fuck.,,
R:rachelle_base,Don't touch the water if you can help it. And...,,
,"Strengthen your healing prayers, my lady. It seems we have a ways to go. ",,
L:magda_base,How much further from divine help can we get? I'll do what I can. ,,
,"Lead on, Dame Rachelle. ",,
X,,,
R:rachelle_base,(This place is familiar.),,
,"(It seems that after eating all of those who fell down with you, this place",,
,"is going to eat up all of the places you know, next.)",,
,(Best to keep moving.),,
X,,,
,,,
R:magda_base,This place is... different.,,
:if_dead_go_to; josephine; 183,,,
L:josephine_base,How interesting.,,
:if_dead_go_to; einar; 188,,,
L:einar_base,"Your grace, are you alright?",,
L:josephine_base,Fine. ,,
:if_dead_go_to; lachlan; 188,,,
R:magda_base,"I'll lead. Lach, if we have to swim, the coat's gotta...",,
L:lachlan_base,I know.,,
L:einar_base,Is it a bad time to let you know that I don't know how to swim?,,
R:magda_base,...,,
,"Okay, we'll avoid the water, then. Anything else?",,
:if_dead_go_to; josephine; 194,,,
L:josephine_base,My dress is too heavy to move anyway. I'd prefer if we could,,
,avoid even the puddles. Is that amenable?,,
R:magda_base,"Sure, your grace. ",,
,"Okay, everyone stick together. Let's go. ",,
X,,,
:if_dead_go_to; einar; 208,,,
L:einar_base,Water? Fuck me. I can't swim. ,,
R:magda_base,"You can't--? Fine, why the fuck not. Okay. ",,
:if_dead_go_to; lachlan; 204,,,
R:magda_base,"Well, good news is that we don't gotta toss the coat, I guess.",,
L:lachlan_base,(He looks conflicted at the reminder that he's both wearing,,
,the damn uniform jacket and that he might have to give it up.),,
R:magda_base,...,,
,"Okay, let's go. ",,
X,,,
:if_dead_go_to; einar; 249,,,
R:magda_base,Let's keep moving. We'll just... avoid the water features. ,,
L:einar_base,"My thanks, lady cleric. Many thanks. ",,
X,,,
:if_dead_go_to; lachlan 249,,,
R:magda_base,"I'll lead. Lach, if we have to swim, the coat's gotta...",,
L:lachlan_base,I know.,,
R:magda_base,I'll try to avoid it. I don't... I don't want anything to happen ,,
,"to his uniform either, okay?",,
L:lachlan_base,...I know.,,
R:magda_base,How are you feeling?,,
L:lachlan_base,"(He stares determinedly at the ground, quiet for so long",,
,that Magda is about to awkwardly segue when she realizes,,
,that fat tears are rolling down his cheeks.),,
R:magda_base,"(Immediately, she embraces him.)",,
,You're still such a damn quiet crier. I told you to grow out of it.,,
L:lachlan_base,(He shudders and leans into her. They're forced to fall against,,
,the stairs that led them here.),,
R:magda_base,(She lets him cling to him and tries hard not to think about,,
,what the fuck an ENGINE is and how they're going to escape it.),,
L:lachlan_base,... ,,
,Did... that duchess and her knights HAVE to die?,,
,Did Niall HAVE to die?,,
R:magda_base,Your brother...,,
,Your brother tried to kill you. We had to... we had to do what he did. ,,
,He already took your place at the Academy. The uniform really,,
,should belong to you. ,,
,"I'm sorry he had to die like THAT, obviously. And that we had to run.",,
,"But I'm not sorry that you're still here, with me. ",,
,Because I'm getting you out of here. I am.,,
L:lachlan_base,(He sniffles.),,
,Okay. Yeah. We're getting out of here. ,,
,We buried him out in the woods. ,,
R:magda_base,Out in the damn woods!,,
L:lachlan_base,Yeah. ,,
R:magda_base,"That duchess lady was bad news, though... she seemed, like...",,
,I don't know. ,,
L:lachlan_base,...comedically evil?,,
R:magda_base,"Yeah! She seemed insane! We might have dodged a blow, there.",,
L:lachlan_base,Okay. I'm ready to go. ,,
R:magda_base,"Okay, then we will. Just don't rush yourself. ",,
L:lachlan_base,Don't die on me. ,,
R:magda_base,Psh. I would never leave you behind. ,,
,C'mon. ,,
X,,,
R:magda_base,Another damn floor?,,
,When will this shit be over?,,
X,,,
